No;Region;Area;Node;Sector Name;ME;User Label;Total Terminal;SW Version;MAC Adress;Resource Type;Contact;Location;Latitude;Longitude;Connectivity;State;Distance (m);Bandwidth;Service Remote;
29;CRO;West Java Area;BDGCLY - Cabut - Perangkat - ISR;BDGCLYBI1V135;172.31.147.130;;Non-TS;;;BS - WiBAS OSDR Hub;SENTRAL WJA;BTS Cileunyi;-6.940522;107.75132;Unreachable;Inactive;;;;
30;CRO;West Java Area;BDGIDS - Cabut - Perangkat - ISR;BDGIDSBI1V250;172.31.148.2;;Non-TS;;;BS - WiBAS OSDR Hub;SENTRAL-WJA;;;;Unreachable;Inactive;;;;
31;ERO;Bali Nusra Area;DPSIKT;DPSIKTBI3V175;172.31.143.4;;4 TS;7.1.0_2302_R.3.3.2.build_02;00:05:59:5E:D2:9A;BS - WiBAS OSDR Hub;UJF;;-8.735832;115.178706;Connected;Active;;;;
32;ERO;Bali Nusra Area;;;172.31.143.10;2018004511-BEA-CUKAI-BDR;;7.1.0_2332_R.3.3.2.build_02;00:05:59:6A:0A:A6;TS - WiBAS OSDR TS;;;;;Initialization;Inactive;;5 Mbps;<= 5 Mbps;
33;ERO;Bali Nusra Area;;;172.31.143.11;2020216306;;7.1.0_2332_R.3.3.2.build_02;00:05:59:78:34:F6;TS - WiBAS Connect;;DJBC-Kanwil-Bali;;;Connected;Active;807;5 Mbps;<= 5 Mbps;
34;ERO;Bali Nusra Area;;;172.31.143.14;2018004349-KPPBC-MADYA-PABEAN;;7.1.0_2332_R.3.3.2.build_02;00:05:59:6C:8D:32;TS - WiBAS OSDR TS;Prema;;;;Connected;Active;692;8 Mbps;5 Mb < SR < 10 Mb;
35;ERO;Bali Nusra Area;;;172.31.143.25;2015007618-BANK-PERMATA;;7.1.0_2332_R.3.3.2.build_02;00:05:59:78:48:7E;TS - WiBAS Connect;PAK OKA;;;;Connected;Active;2860;512 Kbps;<= 5 Mbps;
36;ERO;Bali Nusra Area;;DPSIKTBI1H350;172.31.143.2;;4 TS;7.1.0_2302_R.3.3.2.build_02;00:05:59:AC:59:DB;BS - WiBAS OSDR Hub;UJF;;-8.735832;115.178706;Connected;Active;;;;
37;ERO;Bali Nusra Area;;;172.31.143.46;2017005691;;7.1.0_2332_R.3.3.2.build_02;00:05:59:78:3B:40;TS - WiBAS Connect;;;;;Connected;Active;1522;512 Kbps;<= 5 Mbps;
38;ERO;Bali Nusra Area;;;172.31.143.53;2019011651;;7.1.0_2332_R.3.3.2.build_02;00:05:59:78:35:F0;TS - WiBAS Connect;;;;;Ranging;Inactive;;2 Mbps;<= 5 Mbps;
39;ERO;Bali Nusra Area;;;172.31.143.58;2012000999;;7.1.0_2332_R.3.3.2.build_02;00:05:59:78:33:AC;TS - WiBAS Connect;;PANIN ATM PATIH JELANTIK;;;Connected;Active;2883;512 Kbps;<= 5 Mbps;
40;ERO;Bali Nusra Area;;;172.31.143.12;202440291;;7.1.0_2332_R.3.3.2.build_02;00:05:59:78:42:70;TS - WiBAS Connect;WYNDAM;;;;Connected;Active;2906;30 Mbps;>= 10 Mbps;
41;ERO;East Java Area;GRSTGP;GRSTGPBI02-135-5H;172.31.177.130;;1 TS;7.1.0_2302_R.3.3.2.build_02;00:05:59:9D:76:25;BS - WiBAS OSDR Hub;Bram;GRESIK;-7.150680;112.646615;Connected;Active;;;;
42;ERO;East Java Area;;;172.31.177.131;2019000963-ETEX;;7.1.0_2332_R.3.3.2.build_02;00:05:59:78:92:CA;TS - WiBAS Connect;;GRESIK;;;Connected;Active;2999;5 Mbps;<= 5 Mbps;
43;ERO;East Java Area;;GRSTGPBI01-315-2H;172.31.177.66;;1 TS;6.4.0_2302_R.1.12.1.build_06;00:05:59:9D:3A:25;BS - WiBAS OSDR Hub;Bram;;-7.150680;112.646615;Connected;Active;;;;
44;ERO;East Java Area;;;172.31.177.68;2019015375-SAKA-OPF;;7.1.0_2332_R.3.3.2.build_02;00:05:59:A6:83:69;TS - WiBAS Connect;;KOMPLEK MASPION MANYAR GRESIK;-7.249457;112.759878;Connected;Active;5190;2 Mbps;<= 5 Mbps;
45;ERO;East Java Area;MLGBDA - Cabut - Perangkat - ISR;MLGBDABI1V040_In Active (TAC_WRLS);172.31.158.130;;2 TS;;00:05:59:9D:45:65;BS - WiBAS OSDR Hub;WAHYU BHAKTI WIJAYA;;;;Unreachable;Inactive;;;;
46;ERO;East Java Area;;;172.31.158.143;2022302470-ATM-PERMATA;;;00:05:59:78:3B:72;TS - WiBAS Connect;ABACUS-082244096551;;;;Unreachable;Inactive;;;;
47;ERO;East Java Area;;;172.31.158.144;2020215932-ocbc;;;00:05:59:78:80:14;TS - WiBAS Connect;;;;;Unreachable;Inactive;;;;
48;ERO;East Java Area;;MLGBDABI2H130_In Active (TAC-WRLS);172.31.159.2;;1 TS;;00:05:59:9D:9C:1D;BS - WiBAS OSDR Hub;REO_DWI_ANGGARA;;;;Unreachable;Inactive;;;;
49;ERO;East Java Area;;;172.31.159.11;2012002886-ATM-MANDIRI;;;;TS - WiBAS Connect;TAG-MLG;;;;Unreachable;Inactive;;;;
50;ERO;East Java Area;MJKGTO;MJKGTOBI01-070-2V;172.31.176.130;;Non-TS;7.1.0_2302_R.3.3.2.build_02;00:05:59:9D:4F:DD;BS - WiBAS OSDR Hub;+62 812-3399-5380 - SALIM;;-7.484068;112.439306;Connected;Active;;;;
51;ERO;East Java Area;;MJKGTOBI03-250-2H;172.31.177.2;;2 TS;7.1.0_2302_R.3.3.2.build_02;00:05:59:C0:0C:F9;BS - WiBAS OSDR Hub;+62 812-3399-5380 - SALIM;;-7.484068;112.439306;Connected;Active;;;;
52;ERO;East Java Area;;;172.31.177.3;2013003132-BJATIM-SOOKO;;7.1.0_2332_R.3.3.2.build_02;00:05:59:A6:96:DD;TS - WiBAS Connect;;BJATIM KCP SOOKO;;;Connected;Active;5329;1 Mbps;<= 5 Mbps;
53;ERO;East Java Area;;;172.31.177.5;2022326228-ATM-IM-MJK;;7.1.0_2332_R.3.3.2.build_02;00:05:59:A6:94:35;TS - WiBAS Connect;CAKSBY;MOJOKERTO;;;Connected;Active;2814;512 Kbps;<= 5 Mbps;
54;ERO;East Java Area;;MJKGTOBI02-340-5V;172.31.176.194;;7 TS;7.1.0_2302_R.3.3.2.build_02;00:05:59:8E:7D:05;BS - WiBAS OSDR Hub;Reo;MOJOKERTO GATOEL;-7.484068;112.439306;Connected;Active;;;;
55;ERO;East Java Area;;;172.31.176.196;2010007342-ATM-SINARMAS;;7.1.0_2332_R.3.3.2.build_02;00:05:59:C2:11:07;TS - WiBAS Connect;;JLN EMPUNALA 85;;;Connected;Active;2076;512 Kbps;<= 5 Mbps;
56;ERO;East Java Area;;;172.31.176.199;2017002405-ATM-MANDIRI;;7.1.0_2332_R.3.3.2.build_02;00:05:59:B9:12:2D;TS - WiBAS Connect;;TOPCELL-MOJOPAHIT MJK;;;Connected;Active;1476;512 Kbps;<= 5 Mbps;
57;ERO;East Java Area;;;172.31.176.200;2020226490-MTF;;7.1.0_2332_R.3.3.2.build_02;00:05:59:7C:72:0A;TS - WiBAS Connect;;MANDIRI TUNAS FINANCE;;;Connected;Active;1476;8 Mbps;5 Mb < SR < 10 Mb;
58;ERO;East Java Area;;;172.31.176.202;2020211196-BANK-OCBC;;7.1.0_2332_R.3.3.2.build_02;00:05:59:B7:43:7B;TS - WiBAS Connect;;;;;Connected;Active;1245;5 Mbps;<= 5 Mbps;
59;ERO;East Java Area;;;172.31.176.203;2018009182-BJATIM-SYARIAH;;7.1.0_2332_R.3.3.2.build_02;00:05:59:BA:8B:99;TS - WiBAS Connect;;JL.MOJOPAHIT MOJOKERTO;;;Connected;Active;1015;1 Mbps;<= 5 Mbps;
60;ERO;East Java Area;;;172.31.176.204;2020226295-MAYBANK;;7.1.0_2332_R.3.3.2.build_02;00:05:59:B9:11:F1;TS - WiBAS Connect;;TELKOM MAYBANK KCP MOJOKERTO;;;Connected;Active;2145;1 Mbps;<= 5 Mbps;
61;ERO;East Java Area;;;172.31.176.213;2023354398-KPPN-MJK;;7.1.0_2332_R.3.3.2.build_02;00:05:59:D8:32:01;TS - WiBAS Connect;;;;;Connected;Active;1568;10 Mbps;>= 10 Mbps;
62;ERO;East Java Area;SDJCNG;SDJCNGBI02-90-2V;172.31.173.194;;1 TS;7.1.0_2302_R.3.3.2.build_02;00:05:59:C0:0A:A1;BS - WiBAS OSDR Hub;Adip;;-7.407205;112.618979;Connected;Active;;;;
63;ERO;East Java Area;;;172.31.173.195;2014006498-ATM-MANDIRI;;7.1.0_2332_R.3.3.2.build_02;00:05:59:8D:E6:95;TS - WiBAS Connect;;IDM Beciro Sidoarjo;;;Connected;Active;1960;512 Kbps;<= 5 Mbps;
64;ERO;East Java Area;;SDJCNGBI03-180-5V;172.31.174.2;;1 TS;7.1.0_2302_R.3.3.2.build_02;00:05:59:C0:07:31;BS - WiBAS OSDR Hub;Adip;;-7.407205;112.618979;Connected;Active;;;;
65;ERO;East Java Area;;;172.31.174.4;2021275025-ALFAMART-U479;;7.1.0_2332_R.3.3.2.build_02;00:05:59:BA:89:0F;TS - WiBAS Connect;;Ruko Bumi Papan Selaras Sdj;-7.43495;112.597415;Connected;Active;3944;512 Kbps;<= 5 Mbps;
66;ERO;East Java Area;;SDJCNGBI04-270-2H;172.31.171.2;;3 TS;7.1.0_2302_R.3.3.2.build_02;00:05:59:9D:9D:0D;BS - WiBAS OSDR Hub;Adip;CANDINEGORO SIDOARJO;-7.407205;112.618979;Connected;Active;;;;
67;ERO;East Java Area;;;172.31.171.5;2009001862-PANIN;;6.4.0_2332_R.1.12.0.build_15;00:05:59:A0:C9:BF;TS - WiBAS Connect;;CANDINEGORO SIDOARJO;-7.407205;112.618979;Connected;Active;4775;1 Mbps;<= 5 Mbps;
68;ERO;East Java Area;;;172.31.171.7;2021257018-ALFAMART-KRIAN;;7.1.0_2332_R.3.3.2.build_02;00:05:59:7C:5D:B0;TS - WiBAS Connect;;CANDINEGORO SIDOARJO;-7.407205;112.618979;Connected;Active;3091;1 Mbps;<= 5 Mbps;
69;ERO;East Java Area;;;172.31.171.8;2022330725-BANK-JATIM;;7.1.0_2332_R.3.3.2.build_02;00:05:59:A6:96:6F;TS - WiBAS Connect;;IMAM BONJOL NGINGAS KRIAN;-7.411653;112.57642;Connected;Active;4798;512 Kbps;<= 5 Mbps;
70;ERO;East Java Area;;SDJCNGBI01-360-5H;172.31.173.130;;4 TS;7.1.0_2302_R.3.3.2.build_02;00:05:59:C0:07:A9;BS - WiBAS OSDR Hub;Bram;;-7.407205;112.618979;Connected;Active;;;;
71;ERO;East Java Area;;;172.31.173.132;2021257026-ALFAMART;;7.1.0_2332_R.3.3.2.build_02;00:05:59:B2:CD:05;TS - WiBAS Connect;;JL Raya Trosobo Taman Sidoarjo;-7.374847;-112.63798;Connected;Active;4198;1 Mbps;<= 5 Mbps;
72;ERO;East Java Area;;;172.31.173.134;2013004792-KCP-BNI;;7.1.0_2332_R.3.3.2.build_02;00:05:59:B9:13:59;TS - WiBAS Connect;;Driyorejo Gresik;-7.365392;112.627203;Ranging;Inactive;;512 Kbps;<= 5 Mbps;
73;ERO;East Java Area;;;172.31.173.135;2011004936-BTN-PerumDriyo;;7.1.0_2332_R.3.3.2.build_02;00:05:59:B7:43:53;TS - WiBAS Connect;;KotaBaruDriyorejo-Gresik;;;Connected;Active;8328;2 Mbps;<= 5 Mbps;
74;ERO;East Java Area;;;172.31.173.136;2022325108-ATM-Mandiri;;7.1.0_2332_R.3.3.2.build_02;00:05:59:BC:20:17;TS - WiBAS Connect;;Alfamart-Madubronto-SDA;;;Connected;Active;3645;512 Kbps;<= 5 Mbps;
75;ERO;East Java Area;;SDJSMPBI01-090-2H-D89;172.31.159.130;;3 TS;7.1.0_2302_R.3.3.2.build_02;00:05:59:A8:3D:FD;BS - WiBAS OSDR Hub;ARIO_YUSUF;;-7.443876;112.719712;Connected;Active;;;;
76;ERO;East Java Area;;;172.31.159.140;2013000105-SHARP;;7.1.0_2332_R.3.3.2.build_02;00:05:59:BC:20:85;TS - WiBAS Connect;;Pergudangan Safe n Lock Sdj;;;Connected;Active;3114;2 Mbps;<= 5 Mbps;
77;ERO;East Java Area;;;172.31.159.138;2024415360;;7.1.0_2332_R.3.3.2.build_02;00:05:59:BA:88:DD;TS - WiBAS Connect;;;;;Connected;Active;4706;10 Mbps;>= 10 Mbps;
78;ERO;East Java Area;;;172.31.159.142;2021289569-mppsdj;;7.1.0_2332_R.3.3.2.build_02;00:05:59:7A:95:AC;TS - WiBAS Connect;rendra;Komp Ruko JBC Juanda Sidoarjo;-7.2713;112.4417;Connected;Active;2353;512 Kbps;<= 5 Mbps;
79;ERO;East Java Area;;SDJSMPBI02-180-5V;172.31.164.130;;7 TS;7.1.0_2302_R.3.3.2.build_02;00:05:59:9D:3B:B5;BS - WiBAS OSDR Hub;MOCH ZUHDI;;-7.443876;112.719712;Connected;Active;;;;
80;ERO;East Java Area;;;172.31.164.135;2017006001-ATM-BNI;;7.1.0_2332_R.3.3.2.build_02;00:05:59:7A:6E:EC;TS - WiBAS Connect;;IM-KantorPos-SDA;-7.256352;112.737487;Connected;Active;692;512 Kbps;<= 5 Mbps;
81;ERO;East Java Area;;;172.31.164.138;2019200865;;7.1.0_2332_R.3.3.2.build_02;00:05:59:78:81:FE;TS - WiBAS Connect;pak-hakim-081392626824;;;;Connected;Active;92;512 Kbps;<= 5 Mbps;
82;ERO;East Java Area;;;172.31.164.141;2010004504-BankPanin;;7.1.0_2332_R.3.3.2.build_02;00:05:59:8D:E5:55;TS - WiBAS Connect;Basworo;Sidoarjo;;;Connected;Active;1937;512 Kbps;<= 5 Mbps;
83;ERO;East Java Area;;;172.31.164.142;2015006717-BNI;;7.1.0_2332_R.3.3.2.build_02;00:05:59:78:48:CE;TS - WiBAS Connect;82245557231;;;;Connected;Active;5790;512 Kbps;<= 5 Mbps;
84;ERO;East Java Area;;;172.31.164.143;2021257024-ALFAMART;;7.1.0_2332_R.3.3.2.build_02;00:05:59:78:81:68;TS - WiBAS Connect;ISAT;;;;Connected;Active;1407;1 Mbps;<= 5 Mbps;
85;ERO;East Java Area;;;172.31.164.145;2019011748-ATM-DANAMON;;7.1.0_2332_R.3.3.2.build_02;00:05:59:78:39:88;TS - WiBAS Connect;;Adira Jl hang tuah no 2 sdj;;;Connected;Active;1245;512 Kbps;<= 5 Mbps;
86;ERO;East Java Area;;;172.31.164.146;2022342533-bni;;7.1.0_2332_R.3.3.2.build_02;00:05:59:7C:49:2E;TS - WiBAS Connect;;jl hangtuah;-7.235756;112.736189;Initialization;Inactive;;512 Kbps;<= 5 Mbps;
87;ERO;East Java Area;;SDJSMPBI03-270-2V;172.31.164.194;;2 TS;7.1.0_2302_R.3.3.2.build_02;00:05:59:9D:7F:D5;BS - WiBAS OSDR Hub;MOCH ZUHDI;;-7.443876;112.719712;Connected;Active;;;;
88;ERO;East Java Area;;;172.31.164.197;2021252165-KPP-PRATAMA-BARAT;;7.1.0_2332_R.3.3.2.build_02;00:05:59:78:44:BE;TS - WiBAS Connect;87863460647;;;;Connected;Active;1591;16 Mbps;>= 10 Mbps;
89;ERO;East Java Area;;;172.31.164.198;2023354776-kpp-pratama;;7.1.0_2332_R.3.3.2.build_02;00:05:59:78:34:42;TS - WiBAS Connect;81233378612;sidoarjo-selatan;;;Connected;Active;2699;16 Mbps;>= 10 Mbps;
90;ERO;East Java Area;;SDJSMPBI04-360-5H;172.31.165.2;;5 TS;7.1.0_2302_R.3.3.2.build_02;00:05:59:5E:EB:22;BS - WiBAS OSDR Hub;MOCH ZUHDI;;-7.443876;112.719712;Connected;Active;;;;
91;ERO;East Java Area;;;172.31.165.11;alfamart-jenggolo;;7.1.0_2332_R.3.3.2.build_02;00:05:59:78:93:2E;TS - WiBAS Connect;82336018031;sidoarjo;;;Connected;Active;599;1 Mbps;<= 5 Mbps;
92;ERO;East Java Area;;;172.31.165.13;2019014584-bjb;;7.1.0_2332_R.3.3.2.build_02;00:05:59:78:39:24;TS - WiBAS Connect;bgi;jenggolo;;;Connected;Active;138;512 Kbps;<= 5 Mbps;
93;ERO;East Java Area;;;172.31.165.5;ALFAMART-BUDURAN;;7.1.0_2332_R.3.3.2.build_02;00:05:59:78:84:10;TS - WiBAS Connect;81359686752;;;;Connected;Active;3206;512 Kbps;<= 5 Mbps;
94;ERO;East Java Area;;;172.31.165.7;2011001437-MANDIRI;;7.1.0_2332_R.3.3.2.build_02;00:05:59:78:4A:EA;TS - WiBAS Connect;TAG;;;;Connected;Active;346;1 Mbps;<= 5 Mbps;
95;ERO;East Java Area;;;172.31.165.8;2021264957-JASUINDO-NIAGA;;7.1.0_2332_R.3.3.2.build_02;00:05:59:7A:95:C0;TS - WiBAS Connect;ANDIKA;LINGKAR-TIMUR;;;Connected;Active;3991;1 Mbps;<= 5 Mbps;
96;ERO;East Java Area;SDJSNY;SDJSNYBI02-090-2V;172.31.171.66;;1 TS;7.1.0_2302_R.3.3.2.build_02;00:05:59:8F:93:9D;BS - WiBAS OSDR Hub;Adip;WADUNGASRI SIDOARJO;-7.348534;112.767766;Connected;Active;;;;
97;ERO;East Java Area;;;172.31.171.68;2024452808-Navigasi-Juanda;;7.1.0_2332_R.3.3.2.build_02;00:05:59:78:49:E6;TS - WiBAS Connect;;WADUNGASRI SIDOARJO;-7.348534;112.767766;Ranging;Inactive;;2 Mbps;<= 5 Mbps;
98;ERO;East Java Area;;SDJSNYBI3V180;172.31.146.2;;8 TS;7.1.0_2302_R.3.3.2.build_02;00:05:59:C0:0C:D1;BS - WiBAS OSDR Hub;WAHYU BHAKTI;;-7.348534;112.767766;Connected;Active;;;;
99;ERO;East Java Area;;;172.31.146.10;2017000041-AIRNAV;;7.1.0_2332_R.3.3.2.build_02;00:05:59:6A:29:6E;TS - WiBAS OSDR TS;BAYU;;;;Connected;Active;3552;1 Mbps;<= 5 Mbps;
100;ERO;East Java Area;;;172.31.146.13;2019011844-ATM-DANAMON;;7.1.0_2332_R.3.3.2.build_02;00:05:59:A6:DC:83;TS - WiBAS Connect;;Vanilla Toserba Darmo Indah Sby;-7.263992;112.686119;Connected;Active;2307;1 Mbps;<= 5 Mbps;
101;ERO;East Java Area;;;172.31.146.15;2023355264-TELKOM-KPPBC;;7.1.0_2332_R.3.3.2.build_02;00:05:59:7C:73:40;TS - WiBAS Connect;;Juanda Sidoarjo;-7.38197;122.7584;Connected;Active;3898;10 Mbps;5 Mb < SR < 10 Mb;
102;ERO;East Java Area;;;172.31.146.18;2019012940;;7.1.0_2332_R.3.3.2.build_02;00:05:59:C2:0F:59;TS - WiBAS Connect;;LION EX BMKG;;;Connected;Active;4383;5 Mbps;<= 5 Mbps;
103;ERO;East Java Area;;;172.31.146.25;2017006408-JAMKRINDO-SURABAYA;;7.1.0_2332_R.3.3.2.build_02;00:05:59:78:7A:60;TS - WiBAS Connect;pak yan;JL.JUANDA KALI RUNGKUT SURABAYA;;;Connected;Active;4498;1 Mbps;<= 5 Mbps;
104;ERO;East Java Area;;;172.31.146.26;2008003187-panin-tropodo;;7.1.0_2332_R.3.3.2.build_02;00:05:59:7A:95:D4;TS - WiBAS Connect;Pak-angga;tropodo;;;Connected;Active;1730;1 Mbps;<= 5 Mbps;
105;ERO;East Java Area;;;172.31.146.32;2016008315-ATM-BNI;;7.1.0_2332_R.3.3.2.build_02;00:05:59:78:41:76;TS - WiBAS Connect;;WADUNGASRI SIDOARJO;-7.348534;112.767766;Connected;Active;692;512 Kbps;<= 5 Mbps;
106;ERO;East Java Area;;;172.31.146.33;2012006566-KK-BNI;;7.1.0_2332_R.3.3.2.build_02;00:05:59:C2:0E:5F;TS - WiBAS Connect;;Tropodo Sidoarjo;;;Ranging;Inactive;;512 Kbps;<= 5 Mbps;
107;ERO;East Java Area;;SDJSNYBI04-270-2H;172.31.171.130;;1 TS;7.1.0_2302_R.3.3.2.build_02;00:05:59:9D:76:75;BS - WiBAS OSDR Hub;Adip;WADUNGASRI SIDOARJO;-7.348534;112.767766;Connected;Active;;;;
108;ERO;East Java Area;;;172.31.171.134;2021257007-ALFAMART-U022;;7.1.0_2332_R.3.3.2.build_02;00:05:59:C2:10:7B;TS - WiBAS Connect;;WADUNGASRI SIDOARJO;-7.348534;112.767766;Connected;Active;4637;1 Mbps;<= 5 Mbps;
109;ERO;East Java Area;SDJWGP;SDJWGPBI02-90-2H;172.31.172.2;;2 TS;7.1.0_2302_R.3.3.2.build_02;00:05:59:C0:06:E1;BS - WiBAS OSDR Hub;Bram;;-7.348534;112.767766;Connected;Active;;;;
110;ERO;East Java Area;;;172.31.172.3;2017003100-ATM-MANDIRI;;7.1.0_2332_R.3.3.2.build_02;00:05:59:7C:49:7E;TS - WiBAS Connect;;RS USADA wage Sidoarjo;-7.370646;112.713097;Connected;Active;2237;512 Kbps;<= 5 Mbps;
111;ERO;East Java Area;;;172.31.172.5;2023358043-bjatim-Gedangan;;7.1.0_2332_R.3.3.2.build_02;00:05:59:78:8E:A6;TS - WiBAS Connect;Kartika;Gedangan-Sidoarjo;;;Connected;Active;4106;512 Kbps;<= 5 Mbps;
112;ERO;East Java Area;;SDJWGPBI03-180-5H;172.31.172.66;;1 TS;7.1.0_2302_R.3.3.2.build_02;00:05:59:DF:6F:44;BS - WiBAS OSDR Hub;Bram;;-7.376449;112.694152;Connected;Active;;;;
