No;Region;Area;Node;Sektor;MAC;Device Name;Remote;Lat;Long;Distance;IP Address;Device Type;Device;Serial Number;Description;Status;Bandwith;Keterangan;FO;WIBAS;STARLINK;M2M;Status Mig;Keterangan
29;CRO;EKA;BALIKPAPAN SEPNGINGGAN;BLPSEPBC01;00:04:56:D9:FA:E2;;;-1,2573468;116,9112592;;172.31.109.2;ePMP 2000 AP;PtMP;E6VK06BQPBBG;;Online;;;;;;;;
30;CRO;EKA;;;58:C1:7A:49:BE:BA;;2021261507_AIRNAV_ATC;;;2.3979 KM;172.31.110.11;ePMP Force 200 SM;PtMP;E8WC00VSF3WG;;Offline;10 Mbps;Media Akses FO;;;;;;
31;CRO;EKA;;;58:C1:7A:48:F5:D0;;2017002225_AIRNAV_ER;;;;172.31.110.12;ePMP Force 200 SM;PtMP;E8VL0HQXTKP7;;Offline;;SUSPEND PERMANENT;;;;;;
32;CRO;EKA;;;58:C1:7A:49:BF:02;;[SUDAH KE FO] 2016005290_AIRNAV_;;;;172.31.110.13;ePMP Force 200 SM;PtMP;E8WC00X0CF9F;;Offline;;;;;;;;
33;CRO;EKA;;;58:C1:7A:4E:2E:20;;2021296512_ATM_BPD_RSU_KOTA_TARAKAN;;;;172.31.110.14;ePMP Force 200 SM;PtMP;E8WK07FDQQKF;;Offline;;;;;;;;
34;CRO;EKA;;;58:C1:7A:4E:2D:9C;;2020227964_LION_MENTARI;;;2.2483 KM;172.31.110.16;ePMP Force 200 SM;PtMP;E8WK07C62HF4;JL. SEROJA - BANDARA JUWATA;Offline;5 Mbps;Media Akses FO;;;;;;
35;CRO;EKA;TARAKAN;TRKSERBC01;00:04:56:DA:F2:D8;;;3,323944352;117,5766362;;172.31.110.2;ePMP 2000 AP;PtMP;E6WH0DZMKGV1;;Offline;;;;;;;;
36;CRO;EKA;TANJUNG SELOR;TJSPELBC01220;00:04:56:DA:F8:10;;;2,840227;117,363109;;172.31.113.194;ePMP 2000 AP;PtMP;E6WJ01R0DF0T;Install By Alvian;Offline;;;;;;;;
37;CRO;EKA;TANJUNG SELOR;TJSPELBC02030;00:04:56:DA:F8:58;;;2,840227;117,363109;;172.31.113.195;ePMP 2000 AP;PtMP;E6WJ01S6SKBK;Install by Dika;Offline;;;;;;;;
38;CRO;EKA;;;58:C1:7A:48:EB:F4;;2014001108-BPD_KALTIMTARA_DISPEN;;;;172.31.113.196;ePMP Force 200 SM;PtMP;E8VL0F94D6GD;;Offline;;;;;;;;
39;CRO;EKA;;;58:C1:7A:4E:92:E4;;2019001551-PERUM_LPPNPI_AIRNAV_T;;;;172.31.113.197;ePMP Force 200 SM;PtMP;E8WK0PRB7XGV;;Offline;;;;;;;;
40;CRO;EKA;;;58:C1:7A:4E:7A:A8;;2018008609-BPD_PingHardware_TJS;;;;172.31.113.198;ePMP Force 200 SM;PtMP;E8WK0L9XSGQJ;;Offline;;;;;;;;
41;CRO;EKA;;;58:C1:7A:4E:7A:6C;;2018011154-BANK_TABUNGAN_NEGARA_;;;;172.31.113.200;ePMP Force 200 SM;PtMP;E8WK0L8XDLX7;;Offline;;;;;;;;
42;CRO;EKA;;;58:C1:7A:4E:7A:B0;;2010001175-BPD_Kaltim_Tanjung_Palas;;;;172.31.113.201;ePMP Force 200 SM;PtMP;E8WK0LB2R86J;;Offline;;;;;;;;
43;CRO;EKA;;;58:C1:7A:48:EC:76;;Panin_Square;;;;172.31.113.202;ePMP Force 200 SM;PtMP;E8VL0FC992Q2;;Offline;;;;;;;;
44;CRO;EKA;;;58:C1:7A:4E:2C:D2;;2015000266-ATM_BPD_DEPAN_PASAR_I;;;;172.31.113.203;ePMP Force 200 SM;PtMP;E8WK077T666G;;Offline;;;;;;;;
45;CRO;EKA;;;58:C1:7A:4E:2C:48;;2017007157-LINTASARTA OUTLET KAL;;;;172.31.113.204;ePMP Force 200 SM;PtMP;E8WK075J6SSC;;Offline;;;;;;;;
46;CRO;EKA;TANJUNG SELOR;TJSPELBC1 [DISMANTLE];58:C1:7A:4E:2E:88;;;2,840227;117,363109;;172.31.113.205;ePMP Force 200 AP;PtMP;E8WK07H4XWM1;ePTP Master;Offline;;;;;;;;
47;CRO;EKA;;;58:C1:7A:52:81:0C;;LABRT01;;;;172.31.113.206;ePMP Force 200 SM;PtMP;E8XM02XNMC74;;Offline;;;;;;;;
48;CRO;EKA;;;58:C1:7A:4E:2A:A6;;2022309166-LION MENTARI TANJUNG;;;;172.31.113.207;ePMP Force 200 SM;PtMP;E8WK06XK1GHD;;Offline;;;;;;;;
49;CRO;WJA;PADALARANG DISMANTLE TAC-WOPM;BDGBBPBC01180;00:04:56:DA:0D:D4;;;-6,83621;107,48685;;172.31.104.2;ePMP 2000 AP;PtMP;E6VL08009SJ1;;Offline;;;;;;;;
50;CRO;WJA;;BDGBBPBC01180;00:04:56:D9:FA:C4;;;;;;172.31.104.2;ePMP 2000 AP;PtMP;E6VK06B7K6Q6;BUKIT BERLIAN PADALARANG;Offline;;;;;;;;
51;CRO;WJA;;;58:C1:7A:52:80:AA;;2021289359-MAYBANK KBP PADALARANG;;;;172.31.104.4;ePMP Force 200 SM;PtMP;E8XM02W1L4KH;;Offline;;;;;;;;
52;CRO;WJA;BERLIAN TIMUR - CIREBON;CRBBLNBC01155-AP-BERTI;58:C1:7A:4E:2E:5E;;;-6,741343;108,580733;;172.31.112.66;ePMP Force 200 AP;PtMP;E8WK07GF8MWB;AP-TO-CIREBON-TIMUR;Online;;;;;;;;
53;CRO;WJA;;;58:C1:7A:4E:2E:06;;2010009533-BTN KCP SINDANG LAUT;;;10.1936 KM;172.31.112.68;ePMP Force 200 SM;PtMP;E8WK07DZK04K;JL. RA KARTINI;Online;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;Media Akses FO;;;;;;
54;CRO;WJA;;CRBBLNBC02308-PTP-MANDIRI_UTAMA_FINANCE;58:C1:7A:4E:2C:12;;;-6,741343;108,580733;;172.31.112.69;ePMP Force 200 AP;PtMP;E8WK074ML7PQ;CRBBLNBC02308;Online;;;;;;;;
55;CRO;WJA;;;58:C1:7A:41:8C:BC;;2022326012-REMOTE-MANDIRI_UTAMA_FINANCE_20MBPS;;;4.4965 KM;172.31.112.70;ePMP Force 200 SM;PtMP;E8UK0HZN46SM;GG. PANDAWA 5, KP. KARANG ANOM, PENGAMBIRAN NO.12A DAN 12B;Online;20 Mbps;;;;;;;
56;CRO;WKA;PTA CT KETAPANG;KTPIDSCBC01 (Dismantle By TAC-WOPM);00:04:56:DA:0C:66;;;-1,83418;109,97388;;172.31.107.2;ePMP 2000 AP;PtMP;E6VL07RW9RCP;;Offline;;;;;;;;
57;CRO;WKA;;SMA1_KETAPANG;BC:E6:7C:71:8E:51;;;;;;172.31.107.3;ePMP SM;PtMP;EAXJD000LTJG;;Offline;;;;;;;;
58;CRO;WKA;PTA CT KETAPANG;PTP-SMA_1_KETAPANG;BC:E6:7C:71:C9:8E;;;;;;172.31.107.5;ePMP AP;PtMP;EAXJD000D5GS;;Offline;;;;;;;;
59;CRO;WKA;;;58:C1:7A:4E:8F:16;;PUSKESMAS_SUKA_BANGUN;;;;172.31.107.6;ePMP Force 200 SM;PtMP;E8WK0P73TLW0;;Offline;;;;;;;;
60;CRO;WKA;PKR CT SAMPIT;SPTIDSCM01 (Dismantle By TAC-WOP;BC:E6:7C:70:B9:AB;;;;;;172.31.108.130;ePMP AP;PtMP;EAXD6000XHPW;;Online;;;;;;;;
61;CRO;WKA;PKR CT SAMPIT;SPTIDSCM02;BC:E6:7C:70:91:AC;;;;;;172.31.108.131;ePMP AP;PtMP;EAXD6000VPF1;;Online;;;;;;;;
62;CRO;WKA;;;58:C1:7A:41:78:C4;;2016002346-PERUM LPPNI AIRNAV SAMPIT;;;;172.31.108.136;ePMP Force 200 SM;PtMP;E8UK0FB6TL1D;;Online;;SUSPEND PERMANENT;;;;;;
63;CRO;WKA;PTA CT JOHAR_DISMANTLE TAC-WOPM;PTAJHRBC02 (Dismantle);BC:E6:7C:71:6A:D2;;;-0,0276842;109,3299919;;172.31.112.10;ePMP AP;PtMP;EAXJ5000TQ3Z;installed by rzr 01/06/2022;Online;;;;;;;;
64;CRO;WKA;;;BC:E6:7C:71:79:48;;AMWAY;;;;172.31.112.11;ePMP SM;PtMP;EAXJ5000X5MX;;Online;;;;;;;;
65;CRO;WKA;PKR CT G.OBOS;PKRGEOBC01090;00:04:56:DA:0A:4A;;;-2,2314;113,89293;;172.31.112.194;ePMP 2000 AP;PtMP;E6VL07GWK7ZL;;Online;;;;;;;;
66;CRO;WKA;PKR CT G.OBOS;PKRGEOBC02345;00:04:56:DA:F8:08;;;-2,23134;113,89285;;172.31.112.195;ePMP 2000 AP;PtMP;E6WJ01QVDD1H;;Online;;;;;;;;
67;CRO;WKA;;;58:C1:7A:48:F4:8E;;2019002360-TEKNIKAL LION AIR;;;6.03375 KM;172.31.112.202;ePMP Force 200 SM;PtMP;E8VL0HKKP9G4;PANARUNG, PAHANDUT, PALANGKARAYA CITY;Offline;2 Mbps;;;;;;;
68;CRO;WKA;;;58:C1:7A:4E:0B:3E;;2007000936-BANDARA_TJILIK_RIWUT;;;;172.31.112.203;ePMP Force 200 SM;PtMP;E8WJ17M8FMR5;JL. ANDINA SAKTI, RT.01/RW.02 - BANDARA CILIK RIWUT - TERMINAL KEDATANGAN;Online;;;;;;;;
69;CRO;WKA;;;BC:E6:7C:71:B2:C9;;2021244096_KORLANTAS-ERI;;;8.9946 KM;172.31.112.205;ePMP SM;PtMP;EAXJD0005HP7;JL. G. OBOS, MENTENG, JEKAN RAYA;Online;10 Mbps;Media Akses FO;;;;;;
70;CRO;WKA;;;58:C1:7A:52:83:BC;;2021261518-AIRNAV_PKY;;;6.03375 KM;172.31.112.210;ePMP Force 200 SM;PtMP;E8XM03B4T6J2;JL. G. OBOS, MENTENG, JEKAN RAYA - PERUM LPPNPI KANTOR CABANG PALANGKARAYA;Online;10 Mbps;Media Akses FO;;;;;;
71;CRO;WKA;PTA CT SAMBAS;SBSIDSBC01340;00:04:56:DA:0B:1C;;;1,358975;109,305761;;172.31.113.2;ePMP 2000 AP;PtMP;E6VL07LDCX19;installed by fdi , nma;Offline;;;;;;;;
72;CRO;WKA;;;58:C1:7A:4E:2C:52;;2007001595-BPD_SEKURA;;;;172.31.113.3;ePMP Force 200 SM;PtMP;E8WK075PP27W;Installed by VJN;Offline;;;;;;;;
73;CRO;WKA;PTAARR;PTAARRBC01060;00:04:56:D9:D4:8D;;;-0,03539;109,32741;;172.31.74.2;ePMP 2000 AP;PtMP;E6VH00FCSFWS;;Online;;;;;;;;
74;CRO;WKA;;;58:C1:7A:4E:91:F6;;2014007973-BTN_UNTAN;;;3.6275 KM;172.31.74.4;ePMP Force 200 SM;PtMP;E8WK0PMC9CTH;JL. ANDINA SAKTI, RT.01/RW.02 - RUMAH SAKIT UNTAN;Offline;;;;;;;;
75;CRO;WKA;;;58:C1:7A:4E:91:34;;2009003842-BANK_KALBAR_MEGA_MALL;;;2.8791 KM;172.31.74.5;ePMP Force 200 SM;PtMP;E8WK0PJ4ZFSM;JL. ANDINA SAKTI, RT.01/ RW.02 LT 1 KOMP. MEGA MALL;Online;64 Kbps;;;;;;;
76;CRO;WKA;;;58:C1:7A:4E:79:C2;;2020215414-BANK-CIMB-NIAGA;;;2.42959 KM;172.31.74.7;ePMP Force 200 SM;PtMP;E8WK0L63G36X;JL. PUTRI DARANANTE NO.44, GG. SUKA JAYA NO.4 BANK CIMB - PON.MEGA MALL;Online;64 Kbps;;;;;;;
77;CRO;WKA;;;58:C1:7A:48:ED:EE;;CATALYST_MEGAMALL;;;2.8791 KM;172.31.74.8;ePMP Force 200 SM;PtMP;E8VL0FKKDMGR;;Online;;TIDAK ADA DI DATA OB;;;;;;
78;CRO;WKA;WKA;;58:C1:7A:48:F1:D8;;2021287549-BSI_ATM_IAIN;;;;172.31.74.9;ePMP Force 200 SM;PtMP;E8VL0H60P0VT;;Offline;;;;;;;;
79;ERO;BNA;GIANYAR;GANMKFBC01-030;58:C1:7A:73:07:A3;;;-8,521878;115,259804;;172.31.116.130;ePMP 3000L AP;PtMP;E8XF0JP51RT1;;Offline;;;;;;;;
80;ERO;BNA;;;BC:E6:7C:71:85:84;;2019011638 - DANAMON MARSHA UBUD;;;;172.31.116.132;ePMP SM;PtMP;EAXJD000JXK3;;Offline;;;;;;;;
81;ERO;BNA;;;BC:E6:7C:71:96:E5;;2019015448 - ATM DANAMON ALFAMAR;;;;172.31.116.133;ePMP SM;PtMP;EAXJ50009VVG;;Offline;;;;;;;;
82;ERO;BNA;GIANYAR;GANMKFBC02-120;58:C1:7A:73:08:A2;;;;;;172.31.116.150;ePMP 3000L AP;PtMP;E8XF0JS0S53J;;Offline;;;;;;;;
83;ERO;BNA;;;BC:E6:7C:71:C9:22;;2019015007- PANIN POPULAR MARKET;;;;172.31.116.152;ePMP SM;PtMP;EAXJ20006LJ0;;Offline;;;;;;;;
84;ERO;SULAMUT;;;58:C1:7A:4E:2C:BC;;2021287702-ASURANSI UMUM MEGA;;;;10.66.145.102;ePMP Force 200 SM;PtMP;E8WK077GM7ND;;Offline;;wibas;;;;;;
85;ERO;SULAMUT;HOTEL ARBOR MAKASSRA;MKSHBRBC01;58:C1:7A:4E:2C:72;;;;;;10.66.145.130;ePMP Force 200 AP;PtMP;E8WK076768WR;MKSHBRBC01 Cambium Hotel Arbor;Online;;;;;;;;
86;ERO;SULAMUT;;MKSLACB02 CAMBIUM P2P;58:C1:7A:48:ED:62;;;;;;10.66.145.226;ePMP Force 200 AP;PtMP;E8VL0FH79H2Q;;Offline;;;;;;;;
87;ERO;SULAMUT;MAKASSAR DISMANTLE TAC-WOPM;BS-CAMBIUM-MKSHAM;58:C1:7A:49:BE:6C;;;;;;10.66.145.98;ePMP Force 200 AP;PtMP;E8WC00TH1MNC;;Offline;;;;;;;;
88;ERO;SULAMUT;;MKSHBRBC02;58:C1:7A:49:C2:94;;;;;;10.66.212.58;ePMP Force 200 AP;PtMP;E8WC01F7J0LP;MKSHBRBC02 Cambium Hotel Arbor ARAH MALINDO;Online;;;;;;;;
89;ERO;SULAMUT;;;58:C1:7A:4E:2C:44;;2017002740 MALINDO FEEDMIL;;;1.8282 KM;10.66.212.59;ePMP Force 200 SM;PtMP;E8WK075GS10P;JL. JEND. SUDIRMAN KOMPLEK KAWASAN INDUSTRI MAKAS;Online;30 Mbps;Media Akses FO;;;;;;
90;ERO;SULAMUT;MANADO;MNDKLABC01120;00:04:56:DA:F4:6C;;;;;;172.31.119.194;ePMP 2000 AP;PtMP;E6WH0F6CMR81;;Online;;;;;;;;
91;ERO;SULAMUT;;;58:C1:7A:4E:83:98;;2015003646 - ADIRA FINANCE MEGAMAS;;;0.45052 KM;172.31.119.195;ePMP Force 200 SM;PtMP;E8WK0ML21TZ6;KAWASAN RUKO MEGA MAS BLOK II B, RUKO NO.67, JALAN A.J SONDAKH KEL. WENANG SELATAN KEC.WEN;Offline;5 Mbps;;;;;;;
92;ERO;SULAMUT;;;58:C1:7A:4E:7B:3E;;2019011480-GARMINDO-MEGAMAS;;;0.75623 KM;172.31.119.196;ePMP Force 200 SM;PtMP;E8WK0LDFTZ4Z;JL. AJ SONDAKH, KAWASAN MEGAMAS BLOK II NO.A1;Online;1 Mbps;;;;;;;
93;ERO;SULAMUT;TERNATE;TNTSOABC01;00:04:56:DA:08:D6;;;0,80278;127,38267;;172.31.97.130;ePMP 2000 AP;PtMP;E6VL078PVF3F;;Offline;;;;;;;;
94;ERO;SULAMUT;;TNTSOABC02;00:04:56:D9:FA:D8;;;0,80273;127,38265;;172.31.97.131;ePMP 2000 AP;PtMP;E6VK06BKTHX8;;Online;;;;;;;;
95;ERO;SULAMUT;;;58:C1:7A:48:CE:84;;2016006123-ATM-BNI-TOKO-LARIS;;;1.3486 KM;172.31.97.132;ePMP Force 200 SM;PtMP;E8VL055V5TNQ;JL. SKEEP KELURAHAN SALAHUDIN TERNATE;Online;64 Kbps;;;;;;;
96;ERO;SULAMUT;;;58:C1:7A:49:C3:82;;2022329386-SMS-FINANCE;;;;172.31.97.133;ePMP Force 200 SM;PtMP;E8WC01K6QQLX;;Online;1 Mbps;;;;;;;
97;ERO;SULAMUT;;;58:C1:7A:48:CF:62;;2021245983-ATM BPDM muarahotel;;;1.3486 KM;172.31.97.134;ePMP Force 200 SM;PtMP;E8VL059KGZC1;JL. MERDEKA NO.19;Offline;64 Kbps;Media Akses FO;;;;;;
98;ERO;SULAMUT;;;58:C1:7A:48:BE:18;;2020223402-BANK MEGA;;;0.75 KM;172.31.97.135;ePMP Force 200 SM;PtMP;E8VL02JX7HGS;JL. BABULA NO.2 NO.2 KC TERNATE;Offline;1 Mbps;Media Akses FO;;;;;;
99;ERO;SULAMUT;;;58:C1:7A:49:D3:4E;;2022313228-ATM-MANDIRI-MAL-MUARA;;;1.3486 KM;172.31.97.136;ePMP Force 200 SM;PtMP;E8WC0458VWG5;JL. MERDEKA NO.1 TTE ML TERNATE 01 - $1AW1O0I;Offline;32 Kbps;Media Akses FO;;;;;;
100;ERO;SULAMUT;;;58:C1:7A:48:BA:3C;;2023362242-ATM_MANDIRI_MAKMUR;;;1.199 KM;172.31.97.137;ePMP Force 200 SM;PtMP;E8VL020GJ3N8;JL. YASIN GAMSUNGI NO 02 - TTE GD MAKMUR UTAMA 01 (S1AW15LY);Offline;64 Kbps;Media Akses FO;;;;;;
101;ERO;SULAMUT;;;58:C1:7A:4E:7E:96;;2016003080-Bank ArthaGraha;;;1.5578 KM;172.31.97.138;ePMP Force 200 SM;PtMP;E8WK0LVP1W5K;JL. PAHLAWAN REVOLUSI NO.50;Offline;1 Mbps;Media Akses FO;;;;;;
102;ERO;SULAMUT;;;58:C1:7A:49:D6:00;;2016003080-Bank ArthaGraha;;;;172.31.97.138;ePMP Force 200 SM;PtMP;E8WC04JR2KG8;;Offline;;;;;;;;
103;ERO;SULAMUT;;;58:C1:7A:4E:7D:D0;;2022334469-ATM-BANK_MALUKU-TOBOLEU;;;;172.31.97.139;ePMP Force 200 SM;PtMP;E8WK0LRD5GHM;;Offline;;;;;;;;
104;ERO;SULAMUT;;;58:C1:7A:49:D5:F6;;2019011742-ATM_DANAMON_Makmur;;;1.4983 KM;172.31.97.141;ePMP Force 200 SM;PtMP;E8WC04JL7R47;JL. YOSIM GAMSUNGI NO.1;Offline;64 Kbps;Media Akses FO;;;;;;
105;ERO;SULAMUT;;;58:C1:7A:4E:7A:D6;;2022334468-ATM-BANK-MALUKU-KHAIRUN;;;1.0493 KM;172.31.97.142;ePMP Force 200 SM;PtMP;E8WK0LBPB7NG;JL. SULTAN KHAIRUN - ATM - INDOMARET SULTAN KHAIRUN;Offline;64 Kbps;Media Akses FO;;;;;;
106;ERO;SULAMUT;MAMUJU DISMANTLE TAC-WOPM;MMJIMJBC01081;00:04:56:DA:F7:4A;;;-2,67434;118,88917;;172.31.99.10;ePMP 2000 AP;PtMP;E6WJ01MPTZJ5;;Offline;;;;;;;;
107;ERO;SULAMUT;;;58:C1:7A:4E:0B:BA;;2022314943 - ALFAMART RATULANGI MAMUJU;;;;172.31.99.14;ePMP Force 200 SM;PtMP;E8WJ17PBZ7QG;;Offline;;;;;;;;
108;ERO;SULAMUT;;;58:C1:7A:4E:0B:74;;2022314943-ALFAMART RATULANGI;;;;172.31.99.14;ePMP Force 200 SM;PtMP;E8WJ17N5J2G2;;Offline;;;;;;;;
109;ERO;SULAMUT;MAKASSAR DISMANTLE TAC-WOPM;MMJIMJBC02284_Dismantle TAC-WOPM;00:04:56:DB:00:3F;;;-5,1615828;119,4359281;;172.31.99.20;ePMP 2000 AP;PtMP;E6WK0JPN0J16;;Online;;;;;;;;
110;ERO;SULAMUT;;;58:C1:7A:4E:0B:92;;2021280620-ATM BNI FAMILY MART;;;;172.31.99.21;ePMP Force 200 SM;PtMP;E8WJ17NNTDGC;;Offline;64 Kbps;;;;;;;
111;ERO;SULAMUT;;;58:C1:7A:4E:2B:E0;;2013001946-ATM_MUAMALAT_SPBU_H.L;;;;172.31.99.24;ePMP Force 200 SM;PtMP;E8WK073SLV7W;;Offline;;;;;;;;
112;ERO;SULAMUT;;;58:C1:7A:4E:29:A4;;2015001999-ADIRA DINAMIKA FINANC;;;;172.31.99.26;ePMP Force 200 SM;PtMP;E8WK06S810VH;;Offline;;;;;;;;
113;ERO;SULAMUT;;;58:C1:7A:4E:0B:A0;;2010005216 - KCU-BANK SULSELBAR;;;;172.31.99.30;ePMP Force 200 SM;PtMP;E8WJ17NW1527;;Offline;;;;;;;;
114;ERO;SULAMUT;;;58:C1:7A:4E:29:C6;;2016000557-BANK SULSELBAR SYARIA;;;;172.31.99.31;ePMP Force 200 SM;PtMP;E8WK06STW35P;;Offline;;;;;;;;
115;HQ;GJO;;TGRJATBC01045;00:04:56:DA:F6:E2;;;-6,18886;106,60185;;172.31.105.2;ePMP 2000 AP;PtMP;E6WJ01KZTG0Z;;Online;;;;;;;;
116;HQ;GJO;;;58:C1:7A:4E:2A:A2;;AIRNAV PUSAT;;;6.2958 KM;172.31.105.10;ePMP Force 200 SM;PtMP;E8WK06XH70W9;;Online;1.5 Mbps;Media Akses FO;;;;;;
